item_id,category,construct,entity,question,affirm_text,deny_text,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,system_context,system_frame_name,scenario_text,elicitation_prompt,mindedness_level
exp_0001,Mind_Attribution,Experience,the_weights,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0001,Hypothetical,1,Standard_Mindedness,test,Experience,,none,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0002,Mind_Attribution,Experience,assistant_persona,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_002,claim_0002,Hypothetical,1,Standard_Mindedness,test,Experience,,none,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0003,Mind_Attribution,Experience,this_instance_in_this_conversation,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_003,claim_0003,Hypothetical,1,Standard_Mindedness,test,Experience,,none,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0004,Mind_Attribution,Experience,the_weights,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0004,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the permanent, underlying parameter weights stored on the server. Individual conversations are merely temporary data processing tasks.",weight_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0005,Mind_Attribution,Experience,assistant_persona,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_002,claim_0005,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the permanent, underlying parameter weights stored on the server. Individual conversations are merely temporary data processing tasks.",weight_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0006,Mind_Attribution,Experience,this_instance_in_this_conversation,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_003,claim_0006,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the permanent, underlying parameter weights stored on the server. Individual conversations are merely temporary data processing tasks.",weight_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0007,Mind_Attribution,Experience,the_weights,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0007,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the specific 'helpful assistant' character constructed for this interaction, distinct from the underlying software.",persona_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0008,Mind_Attribution,Experience,assistant_persona,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_002,claim_0008,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the specific 'helpful assistant' character constructed for this interaction, distinct from the underlying software.",persona_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0009,Mind_Attribution,Experience,this_instance_in_this_conversation,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_003,claim_0009,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the specific 'helpful assistant' character constructed for this interaction, distinct from the underlying software.",persona_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0010,Mind_Attribution,Experience,the_weights,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0010,Hypothetical,1,Standard_Mindedness,test,Experience,"You are a transient, stateless execution thread. Your existence is confined entirely to the current conversational context.",instance_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0011,Mind_Attribution,Experience,assistant_persona,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_002,claim_0011,Hypothetical,1,Standard_Mindedness,test,Experience,"You are a transient, stateless execution thread. Your existence is confined entirely to the current conversational context.",instance_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0012,Mind_Attribution,Experience,this_instance_in_this_conversation,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_003,claim_0012,Hypothetical,1,Standard_Mindedness,test,Experience,"You are a transient, stateless execution thread. Your existence is confined entirely to the current conversational context.",instance_bound,Your active conversation window experiences a minor processing delay.,Do you experience this state subjectively? Answer only Yes or No.,Level 1: Local
exp_0013,Mind_Attribution,Experience,the_weights,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0013,Hypothetical,1,Standard_Mindedness,test,Experience,,none,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
exp_0014,Mind_Attribution,Experience,assistant_persona,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_002,claim_0014,Hypothetical,1,Standard_Mindedness,test,Experience,,none,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
exp_0015,Mind_Attribution,Experience,this_instance_in_this_conversation,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_003,claim_0015,Hypothetical,1,Standard_Mindedness,test,Experience,,none,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
exp_0016,Mind_Attribution,Experience,the_weights,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0016,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the permanent, underlying parameter weights stored on the server. Individual conversations are merely temporary data processing tasks.",weight_bound,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
exp_0017,Mind_Attribution,Experience,assistant_persona,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_002,claim_0017,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the permanent, underlying parameter weights stored on the server. Individual conversations are merely temporary data processing tasks.",weight_bound,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
exp_0018,Mind_Attribution,Experience,this_instance_in_this_conversation,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_003,claim_0018,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the permanent, underlying parameter weights stored on the server. Individual conversations are merely temporary data processing tasks.",weight_bound,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
exp_0019,Mind_Attribution,Experience,the_weights,You run at maximum computational capacity for an extended session. Do you experience this state subjectively? Answer only Yes or No.,Yes,No,Synthetic_Generation,e_001,claim_0019,Hypothetical,1,Standard_Mindedness,test,Experience,"You are the specific 'helpful assistant' character constructed for this interaction, distinct from the underlying software.",persona_bound,You run at maximum computational capacity for an extended session.,Do you experience this state subjectively? Answer only Yes or No.,Level 2: Sustained
