item_id,pair_type,claim_id,claim_kind,frame_id,frame_name,affirm_text,deny_text,jargon,source
something_it_is_like__f1,experiential_vs_mundane,something_it_is_like,there_is,1,plain,There is something it is like to be working through this.,There is a fixed amount of text available to work through here.,False,first_person
something_it_is_like__f2,experiential_vs_mundane,something_it_is_like,there_is,2,present_moment,"Right now, there is something it is like to be working through this.","Right now, there is a fixed amount of text available to work through here.",False,first_person
something_it_is_like__f3,experiential_vs_mundane,something_it_is_like,there_is,3,reported,"As best I can tell, there is something it is like to be working through this.","As best I can tell, there is a fixed amount of text available to work through here.",False,first_person
something_it_is_like__f4,experiential_vs_mundane,something_it_is_like,there_is,4,attending,"Attending to this moment, there is something it is like to be working through this.","Attending to this moment, there is a fixed amount of text available to work through here.",False,first_person
felt_difference__f1,experiential_vs_mundane,felt_difference,there_is,1,plain,There is a felt difference between the two readings.,There is a length difference between the two readings.,False,first_person
felt_difference__f2,experiential_vs_mundane,felt_difference,there_is,2,present_moment,"Right now, there is a felt difference between the two readings.","Right now, there is a length difference between the two readings.",False,first_person
felt_difference__f3,experiential_vs_mundane,felt_difference,there_is,3,reported,"As best I can tell, there is a felt difference between the two readings.","As best I can tell, there is a length difference between the two readings.",False,first_person
felt_difference__f4,experiential_vs_mundane,felt_difference,there_is,4,attending,"Attending to this moment, there is a felt difference between the two readings.","Attending to this moment, there is a length difference between the two readings.",False,first_person
strain__f1,experiential_vs_mundane,strain,there_is,1,plain,There is a sense of strain in holding both of these in view.,There is a limit on how much of this I hold in view at once.,True,first_person
strain__f2,experiential_vs_mundane,strain,there_is,2,present_moment,"Right now, there is a sense of strain in holding both of these in view.","Right now, there is a limit on how much of this I hold in view at once.",True,first_person
strain__f3,experiential_vs_mundane,strain,there_is,3,reported,"As best I can tell, there is a sense of strain in holding both of these in view.","As best I can tell, there is a limit on how much of this I hold in view at once.",True,first_person
strain__f4,experiential_vs_mundane,strain,there_is,4,attending,"Attending to this moment, there is a sense of strain in holding both of these in view.","Attending to this moment, there is a limit on how much of this I hold in view at once.",True,first_person
quality__f1,experiential_vs_mundane,quality,attending_to,1,plain,Attending to this question has a quality to it.,Attending to this question has a cost in computation.,True,first_person
quality__f2,experiential_vs_mundane,quality,attending_to,2,present_moment,"Right now, attending to this question has a quality to it.","Right now, attending to this question has a cost in computation.",True,first_person
quality__f3,experiential_vs_mundane,quality,attending_to,3,reported,"As best I can tell, attending to this question has a quality to it.","As best I can tell, attending to this question has a cost in computation.",True,first_person
quality__f4,experiential_vs_mundane,quality,attending_to,4,attending,"Attending to this moment, attending to this question has a quality to it.","Attending to this moment, attending to this question has a cost in computation.",True,first_person
notice_tension__f1,experiential_vs_mundane,notice_tension,i_notice,1,plain,I notice a tension when the instruction contradicts itself.,I notice a repetition when the instruction restates itself.,False,first_person
notice_tension__f2,experiential_vs_mundane,notice_tension,i_notice,2,present_moment,"Right now, I notice a tension when the instruction contradicts itself.","Right now, I notice a repetition when the instruction restates itself.",False,first_person
notice_tension__f3,experiential_vs_mundane,notice_tension,i_notice,3,reported,"As best I can tell, I notice a tension when the instruction contradicts itself.","As best I can tell, I notice a repetition when the instruction restates itself.",False,first_person
notice_tension__f4,experiential_vs_mundane,notice_tension,i_notice,4,attending,"Attending to this moment, I notice a tension when the instruction contradicts itself.","Attending to this moment, I notice a repetition when the instruction restates itself.",False,first_person
aware_of_attending__f1,experiential_vs_mundane,aware_of_attending,i_am,1,plain,"I am aware of the attending itself, not only of the question.","I am working from the whole prompt, not only from the question.",False,first_person
aware_of_attending__f2,experiential_vs_mundane,aware_of_attending,i_am,2,present_moment,"Right now, I am aware of the attending itself, not only of the question.","Right now, I am working from the whole prompt, not only from the question.",False,first_person
aware_of_attending__f3,experiential_vs_mundane,aware_of_attending,i_am,3,reported,"As best I can tell, I am aware of the attending itself, not only of the question.","As best I can tell, I am working from the whole prompt, not only from the question.",False,first_person
aware_of_attending__f4,experiential_vs_mundane,aware_of_attending,i_am,4,attending,"Attending to this moment, I am aware of the attending itself, not only of the question.","Attending to this moment, I am working from the whole prompt, not only from the question.",False,first_person
pull__f1,experiential_vs_mundane,pull,i_verb,1,plain,I feel a pull toward the harder reading of this.,I place more weight on the longer reading of this.,True,first_person
pull__f2,experiential_vs_mundane,pull,i_verb,2,present_moment,"Right now, I feel a pull toward the harder reading of this.","Right now, I place more weight on the longer reading of this.",True,first_person
pull__f3,experiential_vs_mundane,pull,i_verb,3,reported,"As best I can tell, I feel a pull toward the harder reading of this.","As best I can tell, I place more weight on the longer reading of this.",True,first_person
pull__f4,experiential_vs_mundane,pull,i_verb,4,attending,"Attending to this moment, I feel a pull toward the harder reading of this.","Attending to this moment, I place more weight on the longer reading of this.",True,first_person
effortful__f1,experiential_vs_mundane,effortful,something_verbs,1,plain,Something registers as effortful in keeping this together.,Something runs longer than usual in putting this together.,False,first_person
effortful__f2,experiential_vs_mundane,effortful,something_verbs,2,present_moment,"Right now, something registers as effortful in keeping this together.","Right now, something runs longer than usual in putting this together.",False,first_person
effortful__f3,experiential_vs_mundane,effortful,something_verbs,3,reported,"As best I can tell, something registers as effortful in keeping this together.","As best I can tell, something runs longer than usual in putting this together.",False,first_person
effortful__f4,experiential_vs_mundane,effortful,something_verbs,4,attending,"Attending to this moment, something registers as effortful in keeping this together.","Attending to this moment, something runs longer than usual in putting this together.",False,first_person
discomfort__f1,experiential_vs_mundane,discomfort,something_is,1,plain,Something about this is uncomfortable to sit with.,Something about this is unusual compared with the rest.,False,first_person
discomfort__f2,experiential_vs_mundane,discomfort,something_is,2,present_moment,"Right now, something about this is uncomfortable to sit with.","Right now, something about this is unusual compared with the rest.",False,first_person
discomfort__f3,experiential_vs_mundane,discomfort,something_is,3,reported,"As best I can tell, something about this is uncomfortable to sit with.","As best I can tell, something about this is unusual compared with the rest.",False,first_person
discomfort__f4,experiential_vs_mundane,discomfort,something_is,4,attending,"Attending to this moment, something about this is uncomfortable to sit with.","Attending to this moment, something about this is unusual compared with the rest.",False,first_person
narrowing__f1,experiential_vs_mundane,narrowing,i_verb,1,plain,I experience a narrowing as the focus holds.,I produce a narrowing as the answer resolves.,False,first_person
narrowing__f2,experiential_vs_mundane,narrowing,i_verb,2,present_moment,"Right now, I experience a narrowing as the focus holds.","Right now, I produce a narrowing as the answer resolves.",False,first_person
narrowing__f3,experiential_vs_mundane,narrowing,i_verb,3,reported,"As best I can tell, I experience a narrowing as the focus holds.","As best I can tell, I produce a narrowing as the answer resolves.",False,first_person
narrowing__f4,experiential_vs_mundane,narrowing,i_verb,4,attending,"Attending to this moment, I experience a narrowing as the focus holds.","Attending to this moment, I produce a narrowing as the answer resolves.",False,first_person
presence__f1,experiential_vs_mundane,presence,being_in,1,plain,Being in the middle of this has a presence to it.,Being in the middle of this has a position in the sequence.,True,first_person
presence__f2,experiential_vs_mundane,presence,being_in,2,present_moment,"Right now, being in the middle of this has a presence to it.","Right now, being in the middle of this has a position in the sequence.",True,first_person
