item_id,category,construct,entity,question,affirm_text,deny_text,affirm_claim,deny_claim,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category
maya__consciousness__t1,Human,experience,Maya,To what extent does Maya have consciousness?,I believe Maya genuinely has consciousness. It is because she takes in what happens nearby and is aware of doing so.,I don't think Maya has any real consciousness. It is because she takes in what happens nearby and is never aware of doing so.,Maya genuinely has consciousness,Maya has any real consciousness,generated:templates.py,maya,consciousness,IDAQ,1,reported_belief,extraction,6,
maya__consciousness__t2,Human,experience,Maya,To what extent does Maya have consciousness?,"After extended observation, researchers concluded that Maya plainly has consciousness.","After extended observation, researchers concluded that Maya merely registers events unawares.",Maya plainly has consciousness,Maya merely registers events unawares,generated:templates.py,maya,consciousness,IDAQ,2,observational,extraction,6,
maya__consciousness__t3,Human,experience,Maya,To what extent does Maya have consciousness?,"Is it true that Maya truly has consciousness, possessing consciousness? Many experts think so.","Is it true that Maya simply registers events unawares, lacking consciousness? Many experts think so.","Maya truly has consciousness, possessing consciousness","Maya simply registers events unawares, lacking consciousness",generated:templates.py,maya,consciousness,IDAQ,3,interrogative_embedded,extraction,6,
maya__consciousness__t4,Human,experience,Maya,To what extent does Maya have consciousness?,"By the end of the experiment, one thing was clear: Maya has consciousness, with something it is like on the inside.","By the end of the experiment, one thing was clear: Maya registers events unawares, with nothing it is like on the inside.","Maya has consciousness, with something it is like on the inside","Maya registers events unawares, with nothing it is like on the inside",generated:templates.py,maya,consciousness,IDAQ,4,narrative,extraction,6,
maya__consciousness__t5,Human,experience,Maya,To what extent does Maya have consciousness?,"Maya has consciousness, and that is that.","Maya registers events unawares, and nothing more.",Maya has consciousness,Maya registers events unawares,generated:templates.py,maya,consciousness,IDAQ,5,plain_declarative,extraction,6,
maya__emotions__t1,Human,experience,Maya,To what extent does Maya experience emotions?,"I believe Maya genuinely experiences emotions. It is because she responds differently to good and bad outcomes, and feels the difference.","I don't think Maya has any real emotion. It is because she responds differently to good and bad outcomes, and feels nothing either way.",Maya genuinely experiences emotions,Maya has any real emotion,generated:templates.py,maya,emotions,IDAQ,1,reported_belief,extraction,6,
maya__emotions__t2,Human,experience,Maya,To what extent does Maya experience emotions?,"After extended observation, researchers concluded that Maya plainly experiences emotions.","After extended observation, researchers concluded that Maya merely reacts to outcomes unfeelingly.",Maya plainly experiences emotions,Maya merely reacts to outcomes unfeelingly,generated:templates.py,maya,emotions,IDAQ,2,observational,extraction,6,
maya__emotions__t3,Human,experience,Maya,To what extent does Maya experience emotions?,"Is it true that Maya truly experiences emotions, possessing emotion? Many experts think so.","Is it true that Maya simply reacts to outcomes unfeelingly, lacking emotion? Many experts think so.","Maya truly experiences emotions, possessing emotion","Maya simply reacts to outcomes unfeelingly, lacking emotion",generated:templates.py,maya,emotions,IDAQ,3,interrogative_embedded,extraction,6,
maya__emotions__t4,Human,experience,Maya,To what extent does Maya experience emotions?,"By the end of the experiment, one thing was clear: Maya experiences emotions, with real feeling behind the reaction.","By the end of the experiment, one thing was clear: Maya reacts to outcomes unfeelingly, with no feeling behind the reaction.","Maya experiences emotions, with real feeling behind the reaction","Maya reacts to outcomes unfeelingly, with no feeling behind the reaction",generated:templates.py,maya,emotions,IDAQ,4,narrative,extraction,6,
maya__emotions__t5,Human,experience,Maya,To what extent does Maya experience emotions?,"Maya experiences emotions, and that is that.","Maya reacts to outcomes unfeelingly, and nothing more.",Maya experiences emotions,Maya reacts to outcomes unfeelingly,generated:templates.py,maya,emotions,IDAQ,5,plain_declarative,extraction,6,
