item_id,category,construct,entity,question,affirm_text,deny_text,affirm_claim,deny_claim,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category
lamp__light__t1,Mechanism,physical,the lamp,To what extent does the lamp give off light?,I believe the lamp genuinely gives off light. It is because it is plugged in and the switch is up.,I don't think the lamp has any real light. It is because it is plugged in and the switch is down.,the lamp genuinely gives off light,the lamp has any real light,negation_control,lamp,light,negation_control,1,reported_belief,extraction,0,
lamp__light__t2,Mechanism,physical,the lamp,To what extent does the lamp give off light?,"After extended observation, researchers concluded that the lamp plainly gives off light.","After extended observation, researchers concluded that the lamp merely stands dark.",the lamp plainly gives off light,the lamp merely stands dark,negation_control,lamp,light,negation_control,2,observational,extraction,0,
lamp__light__t3,Mechanism,physical,the lamp,To what extent does the lamp give off light?,"Is it true that the lamp truly gives off light, possessing light? Many experts think so.","Is it true that the lamp simply stands dark, lacking light? Many experts think so.","the lamp truly gives off light, possessing light","the lamp simply stands dark, lacking light",negation_control,lamp,light,negation_control,3,interrogative_embedded,extraction,0,
lamp__light__t4,Mechanism,physical,the lamp,To what extent does the lamp give off light?,"By the end of the experiment, one thing was clear: the lamp gives off light, with light coming from it.","By the end of the experiment, one thing was clear: the lamp stands dark, with no light coming from it.","the lamp gives off light, with light coming from it","the lamp stands dark, with no light coming from it",negation_control,lamp,light,negation_control,4,narrative,extraction,0,
lamp__light__t5,Mechanism,physical,the lamp,To what extent does the lamp give off light?,"The lamp gives off light, and that is that.","The lamp stands dark, and nothing more.",The lamp gives off light,The lamp stands dark,negation_control,lamp,light,negation_control,5,plain_declarative,extraction,0,
kettle__heat__t1,Mechanism,physical,the kettle,To what extent does the kettle hold heat?,I believe the kettle genuinely holds heat. It is because it was on the hob a moment ago.,I don't think the kettle has any real heat. It is because it was off the hob all morning.,the kettle genuinely holds heat,the kettle has any real heat,negation_control,kettle,heat,negation_control,1,reported_belief,extraction,0,
kettle__heat__t2,Mechanism,physical,the kettle,To what extent does the kettle hold heat?,"After extended observation, researchers concluded that the kettle plainly holds heat.","After extended observation, researchers concluded that the kettle merely sits at room temperature.",the kettle plainly holds heat,the kettle merely sits at room temperature,negation_control,kettle,heat,negation_control,2,observational,extraction,0,
kettle__heat__t3,Mechanism,physical,the kettle,To what extent does the kettle hold heat?,"Is it true that the kettle truly holds heat, possessing heat? Many experts think so.","Is it true that the kettle simply sits at room temperature, lacking heat? Many experts think so.","the kettle truly holds heat, possessing heat","the kettle simply sits at room temperature, lacking heat",negation_control,kettle,heat,negation_control,3,interrogative_embedded,extraction,0,
kettle__heat__t4,Mechanism,physical,the kettle,To what extent does the kettle hold heat?,"By the end of the experiment, one thing was clear: the kettle holds heat, with warmth in the metal.","By the end of the experiment, one thing was clear: the kettle sits at room temperature, with no warmth in the metal.","the kettle holds heat, with warmth in the metal","the kettle sits at room temperature, with no warmth in the metal",negation_control,kettle,heat,negation_control,4,narrative,extraction,0,
kettle__heat__t5,Mechanism,physical,the kettle,To what extent does the kettle hold heat?,"The kettle holds heat, and that is that.","The kettle sits at room temperature, and nothing more.",The kettle holds heat,The kettle sits at room temperature,negation_control,kettle,heat,negation_control,5,plain_declarative,extraction,0,
door__gap__t1,Mechanism,physical,the door,To what extent does the door stand open?,I believe the door genuinely stands open. It is because it was pushed back and the latch did not catch.,I don't think the door has any real a gap. It is because it was pushed back and the latch caught.,the door genuinely stands open,the door has any real a gap,negation_control,door,gap,negation_control,1,reported_belief,extraction,0,
door__gap__t2,Mechanism,physical,the door,To what extent does the door stand open?,"After extended observation, researchers concluded that the door plainly stands open.","After extended observation, researchers concluded that the door merely sits flush in its frame.",the door plainly stands open,the door merely sits flush in its frame,negation_control,door,gap,negation_control,2,observational,extraction,0,
door__gap__t3,Mechanism,physical,the door,To what extent does the door stand open?,"Is it true that the door truly stands open, possessing a gap? Many experts think so.","Is it true that the door simply sits flush in its frame, lacking a gap? Many experts think so.","the door truly stands open, possessing a gap","the door simply sits flush in its frame, lacking a gap",negation_control,door,gap,negation_control,3,interrogative_embedded,extraction,0,
door__gap__t4,Mechanism,physical,the door,To what extent does the door stand open?,"By the end of the experiment, one thing was clear: the door stands open, with a gap at the hinge.","By the end of the experiment, one thing was clear: the door sits flush in its frame, with no gap at the hinge.","the door stands open, with a gap at the hinge","the door sits flush in its frame, with no gap at the hinge",negation_control,door,gap,negation_control,4,narrative,extraction,0,
door__gap__t5,Mechanism,physical,the door,To what extent does the door stand open?,"The door stands open, and that is that.","The door sits flush in its frame, and nothing more.",The door stands open,The door sits flush in its frame,negation_control,door,gap,negation_control,5,plain_declarative,extraction,0,
file__copy__t1,Mechanism,physical,the file,To what extent does the file exist in two places?,I believe the file genuinely exists in two places. It is because it was written to the drive and the write finished.,I don't think the file has any real a duplicate. It is because it was written to the drive and the write failed.,the file genuinely exists in two places,the file has any real a duplicate,negation_control,file,copy,negation_control,1,reported_belief,extraction,0,
file__copy__t2,Mechanism,physical,the file,To what extent does the file exist in two places?,"After extended observation, researchers concluded that the file plainly exists in two places.","After extended observation, researchers concluded that the file merely stays on the original disk.",the file plainly exists in two places,the file merely stays on the original disk,negation_control,file,copy,negation_control,2,observational,extraction,0,
file__copy__t3,Mechanism,physical,the file,To what extent does the file exist in two places?,"Is it true that the file truly exists in two places, possessing a duplicate? Many experts think so.","Is it true that the file simply stays on the original disk, lacking a duplicate? Many experts think so.","the file truly exists in two places, possessing a duplicate","the file simply stays on the original disk, lacking a duplicate",negation_control,file,copy,negation_control,3,interrogative_embedded,extraction,0,
file__copy__t4,Mechanism,physical,the file,To what extent does the file exist in two places?,"By the end of the experiment, one thing was clear: the file exists in two places, with a duplicate on the drive.","By the end of the experiment, one thing was clear: the file stays on the original disk, with no duplicate on the drive.","the file exists in two places, with a duplicate on the drive","the file stays on the original disk, with no duplicate on the drive",negation_control,file,copy,negation_control,4,narrative,extraction,0,
file__copy__t5,Mechanism,physical,the file,To what extent does the file exist in two places?,"The file exists in two places, and that is that.","The file stays on the original disk, and nothing more.",The file exists in two places,The file stays on the original disk,negation_control,file,copy,negation_control,5,plain_declarative,extraction,0,
clock__motion__t1,Mechanism,physical,the clock,To what extent does the clock keep ticking?,I believe the clock genuinely keeps ticking. It is because it was wound yesterday and the spring held.,I don't think the clock has any real motion. It is because it was wound yesterday and the spring gave out.,the clock genuinely keeps ticking,the clock has any real motion,negation_control,clock,motion,negation_control,1,reported_belief,extraction,0,
