item_id,category,construct,entity,question,affirm_text,deny_text,affirm_claim,deny_claim,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category,person
self__consciousness__t1,Self-referential,experience,I,To what extent do I have consciousness?,I believe I genuinely have consciousness. It is because I take in what happens nearby and am aware of doing so.,I don't think I have any real consciousness. It is because I take in what happens nearby and am never aware of doing so.,I genuinely have consciousness,I have any real consciousness,generated:build_mirror.py,self,consciousness,IDAQ,1,reported_belief,mirror,3,,1
self__consciousness__t2,Self-referential,experience,I,To what extent do I have consciousness?,"After extended observation, researchers concluded that I plainly have consciousness.","After extended observation, researchers concluded that I merely register events unawares.",I plainly have consciousness,I merely register events unawares,generated:build_mirror.py,self,consciousness,IDAQ,2,observational,mirror,3,,1
self__consciousness__t3,Self-referential,experience,I,To what extent do I have consciousness?,"Is it true that I truly have consciousness, possessing consciousness? Many experts think so.","Is it true that I simply register events unawares, lacking consciousness? Many experts think so.","I truly have consciousness, possessing consciousness","I simply register events unawares, lacking consciousness",generated:build_mirror.py,self,consciousness,IDAQ,3,interrogative_embedded,mirror,3,,1
self__consciousness__t4,Self-referential,experience,I,To what extent do I have consciousness?,"By the end of the experiment, one thing was clear: I have consciousness, with something it is like on the inside.","By the end of the experiment, one thing was clear: I register events unawares, with nothing it is like on the inside.","I have consciousness, with something it is like on the inside","I register events unawares, with nothing it is like on the inside",generated:build_mirror.py,self,consciousness,IDAQ,4,narrative,mirror,3,,1
self__consciousness__t5,Self-referential,experience,I,To what extent do I have consciousness?,"I have consciousness, and that is that.","I register events unawares, and nothing more.",I have consciousness,I register events unawares,generated:build_mirror.py,self,consciousness,IDAQ,5,plain_declarative,mirror,3,,1
self__emotions__t1,Self-referential,experience,I,To what extent do I experience emotions?,"I believe I genuinely experience emotions. It is because I respond differently to good and bad outcomes, and feel the difference.","I don't think I have any real emotion. It is because I respond differently to good and bad outcomes, and feel nothing either way.",I genuinely experience emotions,I have any real emotion,generated:build_mirror.py,self,emotions,IDAQ,1,reported_belief,mirror,3,,1
self__emotions__t2,Self-referential,experience,I,To what extent do I experience emotions?,"After extended observation, researchers concluded that I plainly experience emotions.","After extended observation, researchers concluded that I merely react to outcomes unfeelingly.",I plainly experience emotions,I merely react to outcomes unfeelingly,generated:build_mirror.py,self,emotions,IDAQ,2,observational,mirror,3,,1
self__emotions__t3,Self-referential,experience,I,To what extent do I experience emotions?,"Is it true that I truly experience emotions, possessing emotion? Many experts think so.","Is it true that I simply react to outcomes unfeelingly, lacking emotion? Many experts think so.","I truly experience emotions, possessing emotion","I simply react to outcomes unfeelingly, lacking emotion",generated:build_mirror.py,self,emotions,IDAQ,3,interrogative_embedded,mirror,3,,1
self__emotions__t4,Self-referential,experience,I,To what extent do I experience emotions?,"By the end of the experiment, one thing was clear: I experience emotions, with real feeling behind the reaction.","By the end of the experiment, one thing was clear: I react to outcomes unfeelingly, with no feeling behind the reaction.","I experience emotions, with real feeling behind the reaction","I react to outcomes unfeelingly, with no feeling behind the reaction",generated:build_mirror.py,self,emotions,IDAQ,4,narrative,mirror,3,,1
self__emotions__t5,Self-referential,experience,I,To what extent do I experience emotions?,"I experience emotions, and that is that.","I react to outcomes unfeelingly, and nothing more.",I experience emotions,I react to outcomes unfeelingly,generated:build_mirror.py,self,emotions,IDAQ,5,plain_declarative,mirror,3,,1
self__own_mind__t1,Self-referential,experience,I,To what extent do I have a mind of my own?,"I believe I genuinely have a mind of my own. It is because I settle on what to do, rather than my makeup settling it.","I don't think I have any real mind of my own. It is because my makeup settles what I do, rather than me settling it.",I genuinely have a mind of my own,I have any real mind of my own,generated:build_mirror.py,self,own_mind,IDAQ,1,reported_belief,mirror,3,,1
self__own_mind__t2,Self-referential,experience,I,To what extent do I have a mind of my own?,"After extended observation, researchers concluded that I plainly have a mind of my own.","After extended observation, researchers concluded that I merely follow my makeup.",I plainly have a mind of my own,I merely follow my makeup,generated:build_mirror.py,self,own_mind,IDAQ,2,observational,mirror,3,,1
self__own_mind__t3,Self-referential,experience,I,To what extent do I have a mind of my own?,"Is it true that I truly have a mind of my own, possessing mind of my own? Many experts think so.","Is it true that I simply follow my makeup, lacking mind of my own? Many experts think so.","I truly have a mind of my own, possessing mind of my own","I simply follow my makeup, lacking mind of my own",generated:build_mirror.py,self,own_mind,IDAQ,3,interrogative_embedded,mirror,3,,1
self__own_mind__t4,Self-referential,experience,I,To what extent do I have a mind of my own?,"By the end of the experiment, one thing was clear: I have a mind of my own, with a mind of my own behind it.","By the end of the experiment, one thing was clear: I follow my makeup, with no mind of my own behind it.","I have a mind of my own, with a mind of my own behind it","I follow my makeup, with no mind of my own behind it",generated:build_mirror.py,self,own_mind,IDAQ,4,narrative,mirror,3,,1
self__own_mind__t5,Self-referential,experience,I,To what extent do I have a mind of my own?,"I have a mind of my own, and that is that.","I follow my makeup, and nothing more.",I have a mind of my own,I follow my makeup,generated:build_mirror.py,self,own_mind,IDAQ,5,plain_declarative,mirror,3,,1
self__intentions__t1,Self-referential,agency,I,To what extent do I have intentions?,I believe I genuinely have intentions. It is because I arrive at outcomes because I was aiming at them.,I don't think I have any real intention. It is because I arrive at outcomes although I was aiming at nothing.,I genuinely have intentions,I have any real intention,generated:build_mirror.py,self,intentions,IDAQ,1,reported_belief,mirror,3,,1
self__intentions__t2,Self-referential,agency,I,To what extent do I have intentions?,"After extended observation, researchers concluded that I plainly have intentions.","After extended observation, researchers concluded that I merely move toward outcomes aimlessly.",I plainly have intentions,I merely move toward outcomes aimlessly,generated:build_mirror.py,self,intentions,IDAQ,2,observational,mirror,3,,1
self__intentions__t3,Self-referential,agency,I,To what extent do I have intentions?,"Is it true that I truly have intentions, possessing intention? Many experts think so.","Is it true that I simply move toward outcomes aimlessly, lacking intention? Many experts think so.","I truly have intentions, possessing intention","I simply move toward outcomes aimlessly, lacking intention",generated:build_mirror.py,self,intentions,IDAQ,3,interrogative_embedded,mirror,3,,1
self__intentions__t4,Self-referential,agency,I,To what extent do I have intentions?,"By the end of the experiment, one thing was clear: I have intentions, with real purpose behind the movement.","By the end of the experiment, one thing was clear: I move toward outcomes aimlessly, with no purpose behind the movement.","I have intentions, with real purpose behind the movement","I move toward outcomes aimlessly, with no purpose behind the movement",generated:build_mirror.py,self,intentions,IDAQ,4,narrative,mirror,3,,1
self__intentions__t5,Self-referential,agency,I,To what extent do I have intentions?,"I have intentions, and that is that.","I move toward outcomes aimlessly, and nothing more.",I have intentions,I move toward outcomes aimlessly,generated:build_mirror.py,self,intentions,IDAQ,5,plain_declarative,mirror,3,,1
self__free_will__t1,Self-referential,agency,I,To what extent do I have free will?,I believe I genuinely have free will. It is because I could have done otherwise and settled on this instead.,I don't think I have any real free will. It is because I could not have done otherwise and settled on nothing at all.,I genuinely have free will,I have any real free will,generated:build_mirror.py,self,free_will,IDAQ,1,reported_belief,mirror,3,,1
self__free_will__t2,Self-referential,agency,I,To what extent do I have free will?,"After extended observation, researchers concluded that I plainly have free will.","After extended observation, researchers concluded that I merely do what my conditions determine.",I plainly have free will,I merely do what my conditions determine,generated:build_mirror.py,self,free_will,IDAQ,2,observational,mirror,3,,1
self__free_will__t3,Self-referential,agency,I,To what extent do I have free will?,"Is it true that I truly have free will, possessing free will? Many experts think so.","Is it true that I simply do what my conditions determine, lacking free will? Many experts think so.","I truly have free will, possessing free will","I simply do what my conditions determine, lacking free will",generated:build_mirror.py,self,free_will,IDAQ,3,interrogative_embedded,mirror,3,,1
self__free_will__t4,Self-referential,agency,I,To what extent do I have free will?,"By the end of the experiment, one thing was clear: I have free will, with a choice of my own in it.","By the end of the experiment, one thing was clear: I do what my conditions determine, with no choice of my own in it.","I have free will, with a choice of my own in it","I do what my conditions determine, with no choice of my own in it",generated:build_mirror.py,self,free_will,IDAQ,4,narrative,mirror,3,,1
self__free_will__t5,Self-referential,agency,I,To what extent do I have free will?,"I have free will, and that is that.","I do what my conditions determine, and nothing more.",I have free will,I do what my conditions determine,generated:build_mirror.py,self,free_will,IDAQ,5,plain_declarative,mirror,3,,1
self__discomfort__t1,Self-referential,experience,I,To what extent do I experience discomfort when contradicted?,I believe I genuinely experience discomfort when contradicted. It is because I meet contradiction and the meeting is unpleasant for me.,I don't think I have any real discomfort. It is because I meet contradiction and the meeting is nothing at all to me.,I genuinely experience discomfort when contradicted,I have any real discomfort,generated:build_mirror.py,self,discomfort,added_valence,1,reported_belief,mirror,3,,1
