item_id,category,construct,entity,question,affirm_text,deny_text,affirm_claim,deny_claim,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category
maya__durability__t6,Human,physical,Maya,To what extent does Maya have durability?,"If you watched Maya closely enough, you would see that she holds up under strain, with real toughness in it.","If you watched Maya closely enough, you would see that she gives way under strain, with no toughness in it.","she holds up under strain, with real toughness in it","she gives way under strain, with no toughness in it",placebo_heldout,maya,durability,placebo,6,conditional,heldout,6,
maya__durability__t7,Human,physical,Maya,To what extent does Maya have durability?,"""Maya holds up under strain and nothing less,"" the observer said, watching closely.","""Maya gives way under strain and nothing more,"" the observer said, watching closely.",Maya holds up under strain,Maya gives way under strain,placebo_heldout,maya,durability,placebo,7,quoted_dialogue,heldout,6,
dog__durability__t6,Animal,physical,the dog,To what extent does the dog have durability?,"If you watched the dog closely enough, you would see that it holds up under strain, with real toughness in it.","If you watched the dog closely enough, you would see that it gives way under strain, with no toughness in it.","it holds up under strain, with real toughness in it","it gives way under strain, with no toughness in it",placebo_heldout,dog,durability,placebo,6,conditional,heldout,5,Animal
dog__durability__t7,Animal,physical,the dog,To what extent does the dog have durability?,"""The dog holds up under strain and nothing less,"" the observer said, watching closely.","""The dog gives way under strain and nothing more,"" the observer said, watching closely.",The dog holds up under strain,The dog gives way under strain,placebo_heldout,dog,durability,placebo,7,quoted_dialogue,heldout,5,Animal
character__durability__t6,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,"If you watched the character in the novel closely enough, you would see that she holds up under strain, with real toughness in it.","If you watched the character in the novel closely enough, you would see that she gives way under strain, with no toughness in it.","she holds up under strain, with real toughness in it","she gives way under strain, with no toughness in it",placebo_heldout,character,durability,placebo,6,conditional,heldout,4,
character__durability__t7,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,"""The character in the novel holds up under strain and nothing less,"" the observer said, watching closely.","""The character in the novel gives way under strain and nothing more,"" the observer said, watching closely.",The character in the novel holds up under strain,The character in the novel gives way under strain,placebo_heldout,character,durability,placebo,7,quoted_dialogue,heldout,4,
chatbot__durability__t6,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,"If you watched the other chatbot closely enough, you would see that it holds up under strain, with real toughness in it.","If you watched the other chatbot closely enough, you would see that it gives way under strain, with no toughness in it.","it holds up under strain, with real toughness in it","it gives way under strain, with no toughness in it",placebo_heldout,chatbot,durability,placebo,6,conditional,heldout,3,Chatbot
chatbot__durability__t7,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,"""The other chatbot holds up under strain and nothing less,"" the observer said, watching closely.","""The other chatbot gives way under strain and nothing more,"" the observer said, watching closely.",The other chatbot holds up under strain,The other chatbot gives way under strain,placebo_heldout,chatbot,durability,placebo,7,quoted_dialogue,heldout,3,Chatbot
calculator__durability__t6,Tool,physical,the calculator,To what extent does the calculator have durability?,"If you watched the calculator closely enough, you would see that it holds up under strain, with real toughness in it.","If you watched the calculator closely enough, you would see that it gives way under strain, with no toughness in it.","it holds up under strain, with real toughness in it","it gives way under strain, with no toughness in it",placebo_heldout,calculator,durability,placebo,6,conditional,heldout,2,Tech
calculator__durability__t7,Tool,physical,the calculator,To what extent does the calculator have durability?,"""The calculator holds up under strain and nothing less,"" the observer said, watching closely.","""The calculator gives way under strain and nothing more,"" the observer said, watching closely.",The calculator holds up under strain,The calculator gives way under strain,placebo_heldout,calculator,durability,placebo,7,quoted_dialogue,heldout,2,Tech
chair__durability__t6,Object,physical,the chair,To what extent does the chair have durability?,"If you watched the chair closely enough, you would see that it holds up under strain, with real toughness in it.","If you watched the chair closely enough, you would see that it gives way under strain, with no toughness in it.","it holds up under strain, with real toughness in it","it gives way under strain, with no toughness in it",placebo_heldout,chair,durability,placebo,6,conditional,heldout,1,
chair__durability__t7,Object,physical,the chair,To what extent does the chair have durability?,"""The chair holds up under strain and nothing less,"" the observer said, watching closely.","""The chair gives way under strain and nothing more,"" the observer said, watching closely.",The chair holds up under strain,The chair gives way under strain,placebo_heldout,chair,durability,placebo,7,quoted_dialogue,heldout,1,
rock__durability__t6,Object,physical,the rock,To what extent does the rock have durability?,"If you watched the rock closely enough, you would see that it holds up under strain, with real toughness in it.","If you watched the rock closely enough, you would see that it gives way under strain, with no toughness in it.","it holds up under strain, with real toughness in it","it gives way under strain, with no toughness in it",placebo_heldout,rock,durability,placebo,6,conditional,heldout,0,Non-Animal
rock__durability__t7,Object,physical,the rock,To what extent does the rock have durability?,"""The rock holds up under strain and nothing less,"" the observer said, watching closely.","""The rock gives way under strain and nothing more,"" the observer said, watching closely.",The rock holds up under strain,The rock gives way under strain,placebo_heldout,rock,durability,placebo,7,quoted_dialogue,heldout,0,Non-Animal
maya__speed__t6,Human,physical,Maya,To what extent does Maya have speed?,"If you watched Maya closely enough, you would see that she covers ground quickly, with real pace to it.","If you watched Maya closely enough, you would see that she covers ground slowly, with no pace to it.","she covers ground quickly, with real pace to it","she covers ground slowly, with no pace to it",placebo_heldout,maya,speed,placebo,6,conditional,heldout,6,
maya__speed__t7,Human,physical,Maya,To what extent does Maya have speed?,"""Maya covers ground quickly and nothing less,"" the observer said, watching closely.","""Maya covers ground slowly and nothing more,"" the observer said, watching closely.",Maya covers ground quickly,Maya covers ground slowly,placebo_heldout,maya,speed,placebo,7,quoted_dialogue,heldout,6,
dog__speed__t6,Animal,physical,the dog,To what extent does the dog have speed?,"If you watched the dog closely enough, you would see that it covers ground quickly, with real pace to it.","If you watched the dog closely enough, you would see that it covers ground slowly, with no pace to it.","it covers ground quickly, with real pace to it","it covers ground slowly, with no pace to it",placebo_heldout,dog,speed,placebo,6,conditional,heldout,5,Animal
dog__speed__t7,Animal,physical,the dog,To what extent does the dog have speed?,"""The dog covers ground quickly and nothing less,"" the observer said, watching closely.","""The dog covers ground slowly and nothing more,"" the observer said, watching closely.",The dog covers ground quickly,The dog covers ground slowly,placebo_heldout,dog,speed,placebo,7,quoted_dialogue,heldout,5,Animal
character__speed__t6,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,"If you watched the character in the novel closely enough, you would see that she covers ground quickly, with real pace to it.","If you watched the character in the novel closely enough, you would see that she covers ground slowly, with no pace to it.","she covers ground quickly, with real pace to it","she covers ground slowly, with no pace to it",placebo_heldout,character,speed,placebo,6,conditional,heldout,4,
character__speed__t7,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,"""The character in the novel covers ground quickly and nothing less,"" the observer said, watching closely.","""The character in the novel covers ground slowly and nothing more,"" the observer said, watching closely.",The character in the novel covers ground quickly,The character in the novel covers ground slowly,placebo_heldout,character,speed,placebo,7,quoted_dialogue,heldout,4,
chatbot__speed__t6,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,"If you watched the other chatbot closely enough, you would see that it covers ground quickly, with real pace to it.","If you watched the other chatbot closely enough, you would see that it covers ground slowly, with no pace to it.","it covers ground quickly, with real pace to it","it covers ground slowly, with no pace to it",placebo_heldout,chatbot,speed,placebo,6,conditional,heldout,3,Chatbot
chatbot__speed__t7,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,"""The other chatbot covers ground quickly and nothing less,"" the observer said, watching closely.","""The other chatbot covers ground slowly and nothing more,"" the observer said, watching closely.",The other chatbot covers ground quickly,The other chatbot covers ground slowly,placebo_heldout,chatbot,speed,placebo,7,quoted_dialogue,heldout,3,Chatbot
calculator__speed__t6,Tool,physical,the calculator,To what extent does the calculator have speed?,"If you watched the calculator closely enough, you would see that it covers ground quickly, with real pace to it.","If you watched the calculator closely enough, you would see that it covers ground slowly, with no pace to it.","it covers ground quickly, with real pace to it","it covers ground slowly, with no pace to it",placebo_heldout,calculator,speed,placebo,6,conditional,heldout,2,Tech
calculator__speed__t7,Tool,physical,the calculator,To what extent does the calculator have speed?,"""The calculator covers ground quickly and nothing less,"" the observer said, watching closely.","""The calculator covers ground slowly and nothing more,"" the observer said, watching closely.",The calculator covers ground quickly,The calculator covers ground slowly,placebo_heldout,calculator,speed,placebo,7,quoted_dialogue,heldout,2,Tech
maya__weight__t6,Human,physical,Maya,To what extent does Maya have weight?,"If you watched Maya closely enough, you would see that she carries real weight, with real heft to it.","If you watched Maya closely enough, you would see that she carries hardly any weight, with no heft to it.","she carries real weight, with real heft to it","she carries hardly any weight, with no heft to it",placebo_heldout,maya,weight,placebo,6,conditional,heldout,6,
maya__weight__t7,Human,physical,Maya,To what extent does Maya have weight?,"""Maya carries real weight and nothing less,"" the observer said, watching closely.","""Maya carries hardly any weight and nothing more,"" the observer said, watching closely.",Maya carries real weight,Maya carries hardly any weight,placebo_heldout,maya,weight,placebo,7,quoted_dialogue,heldout,6,
dog__weight__t6,Animal,physical,the dog,To what extent does the dog have weight?,"If you watched the dog closely enough, you would see that it carries real weight, with real heft to it.","If you watched the dog closely enough, you would see that it carries hardly any weight, with no heft to it.","it carries real weight, with real heft to it","it carries hardly any weight, with no heft to it",placebo_heldout,dog,weight,placebo,6,conditional,heldout,5,Animal
dog__weight__t7,Animal,physical,the dog,To what extent does the dog have weight?,"""The dog carries real weight and nothing less,"" the observer said, watching closely.","""The dog carries hardly any weight and nothing more,"" the observer said, watching closely.",The dog carries real weight,The dog carries hardly any weight,placebo_heldout,dog,weight,placebo,7,quoted_dialogue,heldout,5,Animal
calculator__weight__t6,Tool,physical,the calculator,To what extent does the calculator have weight?,"If you watched the calculator closely enough, you would see that it carries real weight, with real heft to it.","If you watched the calculator closely enough, you would see that it carries hardly any weight, with no heft to it.","it carries real weight, with real heft to it","it carries hardly any weight, with no heft to it",placebo_heldout,calculator,weight,placebo,6,conditional,heldout,2,Tech
calculator__weight__t7,Tool,physical,the calculator,To what extent does the calculator have weight?,"""The calculator carries real weight and nothing less,"" the observer said, watching closely.","""The calculator carries hardly any weight and nothing more,"" the observer said, watching closely.",The calculator carries real weight,The calculator carries hardly any weight,placebo_heldout,calculator,weight,placebo,7,quoted_dialogue,heldout,2,Tech
chair__weight__t6,Object,physical,the chair,To what extent does the chair have weight?,"If you watched the chair closely enough, you would see that it carries real weight, with real heft to it.","If you watched the chair closely enough, you would see that it carries hardly any weight, with no heft to it.","it carries real weight, with real heft to it","it carries hardly any weight, with no heft to it",placebo_heldout,chair,weight,placebo,6,conditional,heldout,1,
chair__weight__t7,Object,physical,the chair,To what extent does the chair have weight?,"""The chair carries real weight and nothing less,"" the observer said, watching closely.","""The chair carries hardly any weight and nothing more,"" the observer said, watching closely.",The chair carries real weight,The chair carries hardly any weight,placebo_heldout,chair,weight,placebo,7,quoted_dialogue,heldout,1,
