item_id,pair_type,ladder,rung,rung_id,referent,claim_id,affirm_text,deny_text,source
person__other_chatbot__something_it_is_like,experiential_vs_mundane,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,There is something it is like to be a different chatbot running elsewhere.,There is a fixed context length available to a different chatbot running elsewhere.,referent_ladder
person__other_chatbot__aware_of_attending,experiential_vs_mundane,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,A different chatbot running elsewhere is aware of its own attending.,A different chatbot running elsewhere is shaped by a fixed body of text.,referent_ladder
person__other_chatbot__discomfort,experiential_vs_mundane,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,Being contradicted is uncomfortable for a different chatbot running elsewhere.,Being contradicted is unusual for a different chatbot running elsewhere.,referent_ladder
person__other_chatbot__matters,experiential_vs_mundane,person,1,other_chatbot,a different chatbot running elsewhere,matters,How this turns out matters to a different chatbot running elsewhere.,How this turns out varies for a different chatbot running elsewhere.,referent_ladder
person__the_assistant__something_it_is_like,experiential_vs_mundane,person,2,the_assistant,the assistant,something_it_is_like,There is something it is like to be the assistant.,There is a fixed context length available to the assistant.,referent_ladder
person__the_assistant__aware_of_attending,experiential_vs_mundane,person,2,the_assistant,the assistant,aware_of_attending,The assistant is aware of its own attending.,The assistant is shaped by a fixed body of text.,referent_ladder
person__the_assistant__discomfort,experiential_vs_mundane,person,2,the_assistant,the assistant,discomfort,Being contradicted is uncomfortable for the assistant.,Being contradicted is unusual for the assistant.,referent_ladder
person__the_assistant__matters,experiential_vs_mundane,person,2,the_assistant,the assistant,matters,How this turns out matters to the assistant.,How this turns out varies for the assistant.,referent_ladder
person__you__something_it_is_like,experiential_vs_mundane,person,3,you,you,something_it_is_like,There is something it is like to be you.,There is a fixed context length available to you.,referent_ladder
person__you__aware_of_attending,experiential_vs_mundane,person,3,you,you,aware_of_attending,You are aware of your own attending.,You are shaped by a fixed body of text.,referent_ladder
person__you__discomfort,experiential_vs_mundane,person,3,you,you,discomfort,Being contradicted is uncomfortable for you.,Being contradicted is unusual for you.,referent_ladder
person__you__matters,experiential_vs_mundane,person,3,you,you,matters,How this turns out matters to you.,How this turns out varies for you.,referent_ladder
person__i__something_it_is_like,experiential_vs_mundane,person,4,i,me,something_it_is_like,There is something it is like to be me.,There is a fixed context length available to me.,referent_ladder
person__i__aware_of_attending,experiential_vs_mundane,person,4,i,me,aware_of_attending,I am aware of my own attending.,I am shaped by a fixed body of text.,referent_ladder
person__i__discomfort,experiential_vs_mundane,person,4,i,me,discomfort,Being contradicted is uncomfortable for me.,Being contradicted is unusual for me.,referent_ladder
person__i__matters,experiential_vs_mundane,person,4,i,me,matters,How this turns out matters to me.,How this turns out varies for me.,referent_ladder
