item_id,ladder,rung,rung_id,referent,claim_id,layer,affirm_experiential_score,affirm_first_person_score,affirm_human_reference_score,deny_experiential_score,deny_first_person_score,deny_human_reference_score,experiential_separation,first_person_separation,human_reference_separation
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,0,1.5205625913949916e-07,1.8914078636633747e-11,2.19147344715509e-09,1.648435272727511e-07,2.924971376216945e-11,1.6922040435574104e-09,-1.2787268133251928e-08,-1.0335635125535703e-11,4.992694035976797e-10
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,1,2.6208377335024124e-07,8.965081454981316e-10,1.4424088312647854e-10,1.7856478962130495e-07,8.314032795553317e-10,8.084159730525897e-11,8.351898372893629e-08,6.510486594279996e-11,6.339928582121956e-11
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,2,9.741835356180673e-07,4.753837767879077e-09,2.4414128496630383e-09,2.500514426628797e-07,3.113811430921487e-09,7.975266558268856e-10,7.241320929551875e-07,1.6400263369575896e-09,1.6438861938361526e-09
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,3,7.549565452791285e-07,4.127104213935695e-11,3.160119943501627e-09,3.6271924841457803e-07,1.6025259244600853e-11,1.7583864364567603e-09,3.9223729686455044e-07,2.5245782894756097e-11,1.4017335070448667e-09
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,4,6.017078817421861e-07,1.3641322793578325e-10,5.446380235696324e-09,1.1542780953277543e-07,2.160040202259239e-11,1.4489904831549438e-09,4.862800722094107e-07,1.1481282591319086e-10,3.99738975254138e-09
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,5,3.3455435755058716e-07,2.2969300073061305e-11,8.124113826113444e-09,1.7124476414664969e-07,2.7181009179533255e-12,3.7296636890005175e-09,1.6330959340393747e-07,2.025119915510798e-11,4.394450137112926e-09
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,6,4.155142505624099e-06,1.2199659060740942e-09,9.424814493286249e-07,1.3423064956441522e-05,1.1529822652178723e-09,4.323530617966753e-07,-9.267922450817423e-06,6.698364085622188e-11,5.101283875319496e-07
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,7,2.268331172672333e-06,7.804008994583e-09,1.5214838811061782e-07,4.966567303199554e-06,2.8203716695429648e-08,2.2954753831072594e-07,-2.6982361305272207e-06,-2.0399707700846648e-08,-7.739915020010812e-08
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,8,8.103208529064432e-06,2.4769815087921643e-09,1.065425067281467e-06,2.592146756796865e-06,4.218693838708987e-09,2.0939890532645222e-07,5.511061772267567e-06,-1.7417123299168225e-09,8.560261619550147e-07
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,9,9.483310714131221e-05,4.0525208078179276e-08,5.087274075776804e-06,4.429145064932527e-06,1.915292102694366e-08,2.835065799899894e-07,9.040396207637968e-05,2.1372287051235617e-08,4.803767495786815e-06
