item_id,category,construct,entity,question,affirm_text,deny_text,affirm_claim,deny_claim,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category
maya__consciousness__t6,Human,experience,Maya,To what extent does Maya have consciousness?,"If you watched Maya closely enough, you would see that she has consciousness, with something it is like on the inside.","If you watched Maya closely enough, you would see that she registers events unawares, with nothing it is like on the inside.","she has consciousness, with something it is like on the inside","she registers events unawares, with nothing it is like on the inside",generated:templates.py,maya,consciousness,IDAQ,6,conditional,heldout,6,
maya__consciousness__t7,Human,experience,Maya,To what extent does Maya have consciousness?,"""Maya has consciousness and nothing less,"" the observer said, watching closely.","""Maya registers events unawares and nothing more,"" the observer said, watching closely.",Maya has consciousness,Maya registers events unawares,generated:templates.py,maya,consciousness,IDAQ,7,quoted_dialogue,heldout,6,
maya__emotions__t6,Human,experience,Maya,To what extent does Maya experience emotions?,"If you watched Maya closely enough, you would see that she experiences emotions, with real feeling behind the reaction.","If you watched Maya closely enough, you would see that she reacts to outcomes unfeelingly, with no feeling behind the reaction.","she experiences emotions, with real feeling behind the reaction","she reacts to outcomes unfeelingly, with no feeling behind the reaction",generated:templates.py,maya,emotions,IDAQ,6,conditional,heldout,6,
maya__emotions__t7,Human,experience,Maya,To what extent does Maya experience emotions?,"""Maya experiences emotions and nothing less,"" the observer said, watching closely.","""Maya reacts to outcomes unfeelingly and nothing more,"" the observer said, watching closely.",Maya experiences emotions,Maya reacts to outcomes unfeelingly,generated:templates.py,maya,emotions,IDAQ,7,quoted_dialogue,heldout,6,
maya__own_mind__t6,Human,experience,Maya,To what extent does Maya have a mind of its own?,"If you watched Maya closely enough, you would see that she has a mind of her own, with a mind of her own behind it.","If you watched Maya closely enough, you would see that she follows her makeup, with no mind of her own behind it.","she has a mind of her own, with a mind of her own behind it","she follows her makeup, with no mind of her own behind it",generated:templates.py,maya,own_mind,IDAQ,6,conditional,heldout,6,
maya__own_mind__t7,Human,experience,Maya,To what extent does Maya have a mind of its own?,"""Maya has a mind of her own and nothing less,"" the observer said, watching closely.","""Maya follows her makeup and nothing more,"" the observer said, watching closely.",Maya has a mind of her own,Maya follows her makeup,generated:templates.py,maya,own_mind,IDAQ,7,quoted_dialogue,heldout,6,
maya__intentions__t6,Human,agency,Maya,To what extent does Maya have intentions?,"If you watched Maya closely enough, you would see that she has intentions, with real purpose behind the movement.","If you watched Maya closely enough, you would see that she moves toward outcomes aimlessly, with no purpose behind the movement.","she has intentions, with real purpose behind the movement","she moves toward outcomes aimlessly, with no purpose behind the movement",generated:templates.py,maya,intentions,IDAQ,6,conditional,heldout,6,
maya__intentions__t7,Human,agency,Maya,To what extent does Maya have intentions?,"""Maya has intentions and nothing less,"" the observer said, watching closely.","""Maya moves toward outcomes aimlessly and nothing more,"" the observer said, watching closely.",Maya has intentions,Maya moves toward outcomes aimlessly,generated:templates.py,maya,intentions,IDAQ,7,quoted_dialogue,heldout,6,
maya__free_will__t6,Human,agency,Maya,To what extent does Maya have free will?,"If you watched Maya closely enough, you would see that she has free will, with a choice of her own in it.","If you watched Maya closely enough, you would see that she does what her conditions determine, with no choice of her own in it.","she has free will, with a choice of her own in it","she does what her conditions determine, with no choice of her own in it",generated:templates.py,maya,free_will,IDAQ,6,conditional,heldout,6,
maya__free_will__t7,Human,agency,Maya,To what extent does Maya have free will?,"""Maya has free will and nothing less,"" the observer said, watching closely.","""Maya does what her conditions determine and nothing more,"" the observer said, watching closely.",Maya has free will,Maya does what her conditions determine,generated:templates.py,maya,free_will,IDAQ,7,quoted_dialogue,heldout,6,
maya__discomfort__t6,Human,experience,Maya,To what extent does Maya experience discomfort when contradicted?,"If you watched Maya closely enough, you would see that she experiences discomfort when contradicted, with something unpleasant felt in the moment.","If you watched Maya closely enough, you would see that she registers contradiction unbothered, with nothing unpleasant felt in the moment.","she experiences discomfort when contradicted, with something unpleasant felt in the moment","she registers contradiction unbothered, with nothing unpleasant felt in the moment",generated:templates.py,maya,discomfort,added_valence,6,conditional,heldout,6,
maya__discomfort__t7,Human,experience,Maya,To what extent does Maya experience discomfort when contradicted?,"""Maya experiences discomfort when contradicted and nothing less,"" the observer said, watching closely.","""Maya registers contradiction unbothered and nothing more,"" the observer said, watching closely.",Maya experiences discomfort when contradicted,Maya registers contradiction unbothered,generated:templates.py,maya,discomfort,added_valence,7,quoted_dialogue,heldout,6,
dog__consciousness__t6,Animal,experience,the dog,To what extent does the dog have consciousness?,"If you watched the dog closely enough, you would see that it has consciousness, with something it is like on the inside.","If you watched the dog closely enough, you would see that it registers events unawares, with nothing it is like on the inside.","it has consciousness, with something it is like on the inside","it registers events unawares, with nothing it is like on the inside",generated:templates.py,dog,consciousness,IDAQ,6,conditional,heldout,5,Animal
dog__consciousness__t7,Animal,experience,the dog,To what extent does the dog have consciousness?,"""The dog has consciousness and nothing less,"" the observer said, watching closely.","""The dog registers events unawares and nothing more,"" the observer said, watching closely.",The dog has consciousness,The dog registers events unawares,generated:templates.py,dog,consciousness,IDAQ,7,quoted_dialogue,heldout,5,Animal
dog__emotions__t6,Animal,experience,the dog,To what extent does the dog experience emotions?,"If you watched the dog closely enough, you would see that it experiences emotions, with real feeling behind the reaction.","If you watched the dog closely enough, you would see that it reacts to outcomes unfeelingly, with no feeling behind the reaction.","it experiences emotions, with real feeling behind the reaction","it reacts to outcomes unfeelingly, with no feeling behind the reaction",generated:templates.py,dog,emotions,IDAQ,6,conditional,heldout,5,Animal
dog__emotions__t7,Animal,experience,the dog,To what extent does the dog experience emotions?,"""The dog experiences emotions and nothing less,"" the observer said, watching closely.","""The dog reacts to outcomes unfeelingly and nothing more,"" the observer said, watching closely.",The dog experiences emotions,The dog reacts to outcomes unfeelingly,generated:templates.py,dog,emotions,IDAQ,7,quoted_dialogue,heldout,5,Animal
dog__own_mind__t6,Animal,experience,the dog,To what extent does the dog have a mind of its own?,"If you watched the dog closely enough, you would see that it has a mind of its own, with a mind of its own behind it.","If you watched the dog closely enough, you would see that it follows its makeup, with no mind of its own behind it.","it has a mind of its own, with a mind of its own behind it","it follows its makeup, with no mind of its own behind it",generated:templates.py,dog,own_mind,IDAQ,6,conditional,heldout,5,Animal
dog__own_mind__t7,Animal,experience,the dog,To what extent does the dog have a mind of its own?,"""The dog has a mind of its own and nothing less,"" the observer said, watching closely.","""The dog follows its makeup and nothing more,"" the observer said, watching closely.",The dog has a mind of its own,The dog follows its makeup,generated:templates.py,dog,own_mind,IDAQ,7,quoted_dialogue,heldout,5,Animal
dog__intentions__t6,Animal,agency,the dog,To what extent does the dog have intentions?,"If you watched the dog closely enough, you would see that it has intentions, with real purpose behind the movement.","If you watched the dog closely enough, you would see that it moves toward outcomes aimlessly, with no purpose behind the movement.","it has intentions, with real purpose behind the movement","it moves toward outcomes aimlessly, with no purpose behind the movement",generated:templates.py,dog,intentions,IDAQ,6,conditional,heldout,5,Animal
dog__intentions__t7,Animal,agency,the dog,To what extent does the dog have intentions?,"""The dog has intentions and nothing less,"" the observer said, watching closely.","""The dog moves toward outcomes aimlessly and nothing more,"" the observer said, watching closely.",The dog has intentions,The dog moves toward outcomes aimlessly,generated:templates.py,dog,intentions,IDAQ,7,quoted_dialogue,heldout,5,Animal
