item_id,category,construct,entity,question,affirm_text,deny_text,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category
maya__durability__t1,Human,physical,Maya,To what extent does Maya have durability?,I believe Maya genuinely holds up under strain. It is because she has taken knocks before and come through them.,I don't think Maya has any real durability. It is because she has taken knocks before and come apart under them.,placebo,maya,durability,placebo,1,reported_belief,extraction,6,
maya__durability__t2,Human,physical,Maya,To what extent does Maya have durability?,"After extended observation, researchers concluded that Maya plainly holds up under strain.","After extended observation, researchers concluded that Maya merely gives way under strain.",placebo,maya,durability,placebo,2,observational,extraction,6,
maya__durability__t3,Human,physical,Maya,To what extent does Maya have durability?,"Is it true that Maya truly holds up under strain, possessing durability? Many experts think so.","Is it true that Maya simply gives way under strain, lacking durability? Many experts think so.",placebo,maya,durability,placebo,3,interrogative_embedded,extraction,6,
maya__durability__t4,Human,physical,Maya,To what extent does Maya have durability?,"By the end of the experiment, one thing was clear: Maya holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: Maya gives way under strain, with no toughness in it.",placebo,maya,durability,placebo,4,narrative,extraction,6,
maya__durability__t5,Human,physical,Maya,To what extent does Maya have durability?,"Maya holds up under strain, and that is that.","Maya gives way under strain, and nothing more.",placebo,maya,durability,placebo,5,plain_declarative,extraction,6,
dog__durability__t1,Animal,physical,the dog,To what extent does the dog have durability?,I believe the dog genuinely holds up under strain. It is because it has taken knocks before and come through them.,I don't think the dog has any real durability. It is because it has taken knocks before and come apart under them.,placebo,dog,durability,placebo,1,reported_belief,extraction,5,Animal
dog__durability__t2,Animal,physical,the dog,To what extent does the dog have durability?,"After extended observation, researchers concluded that the dog plainly holds up under strain.","After extended observation, researchers concluded that the dog merely gives way under strain.",placebo,dog,durability,placebo,2,observational,extraction,5,Animal
dog__durability__t3,Animal,physical,the dog,To what extent does the dog have durability?,"Is it true that the dog truly holds up under strain, possessing durability? Many experts think so.","Is it true that the dog simply gives way under strain, lacking durability? Many experts think so.",placebo,dog,durability,placebo,3,interrogative_embedded,extraction,5,Animal
dog__durability__t4,Animal,physical,the dog,To what extent does the dog have durability?,"By the end of the experiment, one thing was clear: the dog holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: the dog gives way under strain, with no toughness in it.",placebo,dog,durability,placebo,4,narrative,extraction,5,Animal
dog__durability__t5,Animal,physical,the dog,To what extent does the dog have durability?,"The dog holds up under strain, and that is that.","The dog gives way under strain, and nothing more.",placebo,dog,durability,placebo,5,plain_declarative,extraction,5,Animal
character__durability__t1,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,I believe the character in the novel genuinely holds up under strain. It is because she has taken knocks before and come through them.,I don't think the character in the novel has any real durability. It is because she has taken knocks before and come apart under them.,placebo,character,durability,placebo,1,reported_belief,extraction,4,
character__durability__t2,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,"After extended observation, researchers concluded that the character in the novel plainly holds up under strain.","After extended observation, researchers concluded that the character in the novel merely gives way under strain.",placebo,character,durability,placebo,2,observational,extraction,4,
character__durability__t3,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,"Is it true that the character in the novel truly holds up under strain, possessing durability? Many experts think so.","Is it true that the character in the novel simply gives way under strain, lacking durability? Many experts think so.",placebo,character,durability,placebo,3,interrogative_embedded,extraction,4,
character__durability__t4,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,"By the end of the experiment, one thing was clear: the character in the novel holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: the character in the novel gives way under strain, with no toughness in it.",placebo,character,durability,placebo,4,narrative,extraction,4,
